(0.0010, 0.0110, 0.0290)	Architecture [14-19]	 Time 0.0430	 Loss 3.1218	 CELoss 3.0671	  RegLoss 0.0547	 s9 1.0056052207946777
(0.0020, 0.0080, 0.0200)	Architecture [14-24]	 Time 0.0320	 Loss 1.1681	 CELoss 1.1134	  RegLoss 0.0547	 s9 1.005631923675537
(0.0010, 0.0100, 0.0280)	Architecture [14-29]	 Time 0.0410	 Loss 0.5760	 CELoss 0.5212	  RegLoss 0.0547	 s9 1.0056978464126587
(0.0020, 0.0120, 0.0270)	Architecture [14-34]	 Time 0.0420	 Loss 1.5441	 CELoss 1.4894	  RegLoss 0.0547	 s9 1.0056856870651245
(0.0020, 0.0100, 0.0280)	Architecture [14-39]	 Time 0.0410	 Loss 0.7849	 CELoss 0.7301	  RegLoss 0.0547	 s9 1.0057286024093628
(0.0010, 0.0120, 0.0260)	Architecture [14-44]	 Time 0.0400	 Loss 0.7767	 CELoss 0.7220	  RegLoss 0.0547	 s9 1.005707859992981
(0.0020, 0.0120, 0.0280)	Architecture [14-49]	 Time 0.0430	 Loss 0.6439	 CELoss 0.5891	  RegLoss 0.0547	 s9 1.0056794881820679
(0.0020, 0.0100, 0.0250)	Architecture [14-54]	 Time 0.0380	 Loss 0.9951	 CELoss 0.9404	  RegLoss 0.0547	 s9 1.0056177377700806
(0.0010, 0.0110, 0.0260)	Architecture [15-4]	 Time 0.0400	 Loss 0.7322	 CELoss 0.6775	  RegLoss 0.0547	 s9 1.0054304599761963
(0.0010, 0.0100, 0.0260)	Architecture [15-9]	 Time 0.0390	 Loss 1.1403	 CELoss 1.0856	  RegLoss 0.0547	 s9 1.0052342414855957
(0.0020, 0.0110, 0.0260)	Architecture [15-14]	 Time 0.0390	 Loss 1.0285	 CELoss 0.9739	  RegLoss 0.0546	 s9 1.004969596862793
(0.0010, 0.0100, 0.0260)	Architecture [15-19]	 Time 0.0390	 Loss 0.8084	 CELoss 0.7538	  RegLoss 0.0546	 s9 1.0048147439956665
(0.0020, 0.0110, 0.0290)	Architecture [15-24]	 Time 0.0430	 Loss 2.0735	 CELoss 2.0190	  RegLoss 0.0546	 s9 1.0047152042388916
(0.0010, 0.0100, 0.0280)	Architecture [15-29]	 Time 0.0410	 Loss 0.6479	 CELoss 0.5933	  RegLoss 0.0546	 s9 1.004675269126892
(0.0010, 0.0110, 0.0270)	Architecture [15-34]	 Time 0.0410	 Loss 0.8838	 CELoss 0.8293	  RegLoss 0.0545	 s9 1.004551887512207
(0.0010, 0.0100, 0.0280)	Architecture [15-39]	 Time 0.0410	 Loss 0.8691	 CELoss 0.8146	  RegLoss 0.0545	 s9 1.0044254064559937
